iter	Passed	Remaining
887	1539	194
888	1540	192
889	1541	190
890	1542	188
891	1543	186
892	1544	185
893	1544	183
894	1545	181
895	1546	179
896	1547	177
897	1547	175
898	1548	173
899	1549	172
900	1550	170
901	1550	168
902	1551	166
903	1552	164
904	1553	163
905	1554	161
906	1558	159
907	1568	158
908	1569	157
909	1571	155
910	1582	154
911	1583	152
912	1583	150
913	1584	149
914	1586	147
915	1586	145
916	1587	143
917	1588	141
918	1588	140
919	1589	138
920	1590	136
921	1591	134
922	1592	132
923	1592	131
924	1593	129
925	1594	127
926	1595	125
927	1596	123
928	1596	122
929	1597	120
930	1598	118
931	1599	116
932	1609	115
933	1612	113
934	1613	112
935	1613	110
936	1614	108
937	1615	106
938	1616	105
939	1617	103
940	1618	101
941	1618	99
942	1619	97
943	1620	96
944	1621	94
945	1622	92
946	1622	90
947	1623	89
948	1624	87
949	1625	85
950	1626	83
951	1626	82
952	1627	80
953	1628	78
954	1629	76
955	1630	75
956	1631	73
957	1632	71
958	1632	69
959	1633	68
960	1634	66
961	1635	64
962	1636	62
963	1636	61
964	1637	59
965	1638	57
966	1639	55
967	1639	54
968	1640	52
969	1641	50
970	1642	49
971	1642	47
972	1643	45
973	1644	43
974	1645	42
975	1646	40
976	1647	38
977	1651	37
978	1659	35
979	1667	34
980	1672	32
981	1673	30
982	1679	29
983	1687	27
984	1688	25
985	1689	23
986	1690	22
987	1691	20
988	1692	18
989	1692	17
990	1693	15
991	1694	13
992	1695	11
993	1696	10
994	1697	8
995	1698	6
996	1699	5
997	1700	3
998	1701	1
999	1702	0
